"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 16","560.43","572.40","585.15","545.94","2.01B","-2.09%"
"Jun 16","572.40","556.21","584.59","537.21","2.56B","2.91%"
"May 16","556.21","565.73","567.17","531.51","2.39B","-1.68%"
"Apr 16","565.73","518.95","576.10","502.76","2.64B","9.01%"
"Mar 16","518.95","473.32","534.97","471.26","3.26B","9.64%"
"Feb 16","473.32","487.17","488.48","439.52","2.91B","-2.84%"
"Jan 16","487.17","505.35","508.45","419.15","2.74B","-3.60%"
"Dec 15","505.35","565.65","570.15","489.40","2.60B","-10.66%"
"Nov 15","565.65","570.50","602.50","543.00","1.79B","-0.85%"
"Oct 15","570.50","512.29","583.86","506.62","2.25B","11.36%"
"Sep 15","512.29","553.25","553.25","496.51","2.45B","-7.40%"
"Aug 15","553.25","579.42","589.39","492.25","2.52B","-4.52%"
"Jul 15","579.42","632.31","633.34","569.95","2.14B","-8.36%"
"Jun 15","632.31","656.68","662.40","628.05","1.87B","-3.71%"
"May 15","656.68","694.01","702.91","652.69","1.58B","-5.38%"
"Apr 15","694.01","649.11","699.66","647.14","1.68B","6.92%"
"Mar 15","649.11","661.85","662.97","618.12","2.06B","-1.92%"
"Feb 15","661.85","635.48","691.09","635.48","1.79B","4.15%"
"Jan 15","635.48","667.46","672.55","606.09","1.93B","-4.79%"
"Dec 14","667.46","668.48","692.84","605.60","2.44B","-0.15%"
"Nov 14","668.48","739.37","749.04","667.00","1.65B","-9.59%"
"Oct 14","739.37","768.25","771.62","657.29","1.95B","-3.76%"
"Sep 14","768.25","833.25","833.25","764.29","1.19B","-7.80%"
"Aug 14","833.25","815.54","833.52","798.13","1.01B","2.17%"
"Jul 14","815.54","846.02","854.89","815.53","1.00B","-3.60%"
"Jun 14","846.02","804.46","857.71","800.71","1.10B","5.17%"
"May 14","804.46","796.30","807.87","784.72","1.03B","1.02%"
"Apr 14","796.30","758.73","803.30","752.64","1.18B","4.95%"
"Mar 14","758.73","740.93","762.83","726.19","1.18B","2.40%"
"Feb 14","740.93","705.38","747.17","690.64","1.11B","5.04%"
"Jan 14","705.38","752.52","752.52","702.12","1.09B","-6.26%"
"Dec 13","752.52","731.97","753.33","716.76","1.13B","2.81%"
"Nov 13","731.97","730.98","747.79","720.10","1.05B","0.14%"
"Oct 13","730.98","701.51","740.89","688.81","1.21B","4.20%"
"Sep 13","701.51","685.72","720.28","685.72","989.24M","2.30%"
"Aug 13","685.72","699.58","709.17","672.70","994.97M","-1.98%"
"Jul 13","699.58","665.44","712.68","665.44","1.00B","5.13%"
"Jun 13","665.44","680.20","690.16","645.68","1.14B","-2.17%"
"May 13","680.20","666.23","707.75","654.96","1.20B","2.10%"
"Apr 13","666.23","672.45","674.52","625.77","1.23B","-0.93%"
"Mar 13","672.50","658.85","677.51","649.17","1.11B","2.07%"
"Feb 13","658.85","659.03","671.89","639.01","1.06B","-0.03%"
"Jan 13","659.03","611.61","669.75","611.61","853.71M","8.17%"
"Dec 12","609.25","604.18","623.39","594.22","1.11B","0.84%"
"Nov 12","604.17","613.87","623.87","575.77","1.27B","-1.58%"
"Oct 12","613.90","629.78","642.12","607.32","1.14B","-2.44%"
"Sep 12","629.26","609.29","657.64","600.64","1.15B","3.28%"
"Aug 12","609.29","597.40","622.46","584.92","1.26B","2.09%"
"Jul 12","596.84","573.25","605.85","557.72","1.45B","4.10%"
"Jun 12","573.33","544.21","573.40","523.49","1.85B","5.33%"
"May 12","544.34","612.25","624.20","535.74","1.91B","-11.03%"
"Apr 12","611.85","618.82","629.35","583.40","1.43B","-1.18%"
"Mar 12","619.17","641.50","648.95","605.74","1.53B","-3.38%"
"Feb 12","640.81","605.13","653.37","605.13","1.45B","5.90%"
"Jan 12","605.12","594.06","627.12","590.48","1.46B","1.91%"
"Dec 11","593.75","600.79","611.77","556.41","1.47B","-1.28%"
"Nov 11","601.43","589.59","616.91","542.44","1.80B","1.62%"
"Oct 11","591.87","503.67","621.49","468.79","2.06B","17.25%"
"Sep 11","504.79","581.57","589.40","499.21","2.00B","-13.20%"
"Aug 11","581.57","651.62","659.27","522.36","2.65B","-10.42%"
"Jul 11","649.23","642.10","680.74","635.51","1.53B","1.11%"
"Jun 11","642.13","653.66","654.79","600.58","1.89B","-1.77%"
"May 11","653.72","685.45","687.10","614.50","1.85B","-4.63%"
"Apr 11","685.45","677.36","687.24","641.40","1.36B","1.20%"
"Mar 11","677.35","667.73","686.26","618.71","1.90B","1.44%"
"Feb 11","667.73","623.84","670.53","623.03","1.56B","7.04%"
"Jan 11","623.84","580.29","624.13","576.03","1.51B","7.51%"
"Dec 10","580.28","533.84","583.13","533.84","1.31B","8.70%"
"Nov 10","533.83","506.09","546.31","505.15","1.65B","5.48%"
"Oct 10","506.09","481.28","515.40","478.14","1.63B","5.16%"
"Sep 10","481.25","439.04","486.82","439.04","1.55B","9.62%"
"Aug 10","439.03","460.17","481.43","431.78","1.70B","-4.59%"
"Jul 10","460.17","427.17","468.80","418.21","1.92B","7.73%"
"Jun 10","427.17","453.88","487.27","426.14","2.77B","-5.89%"
"May 10","453.89","516.41","525.80","430.25","2.80B","-12.10%"
"Apr 10","516.40","494.12","535.72","494.12","2.02B","4.51%"
"Mar 10","494.11","480.23","507.22","479.13","2.07B","2.89%"
"Feb 10","480.23","472.30","495.33","456.45","1.89B","1.68%"
"Jan 10","472.30","494.02","525.40","469.48","1.84B","-4.39%"
"Dec 09","494.01","495.42","505.64","473.26","1.86B","-0.28%"
"Nov 09","495.41","483.89","513.46","478.36","1.77B","2.38%"
"Oct 09","483.89","474.26","528.30","452.45","2.13B","2.03%"
"Sep 09","474.26","449.49","490.76","439.47","1.98B","5.51%"
"Aug 09","449.49","448.76","469.23","428.63","1.59B","0.16%"
"Jul 09","448.75","428.85","460.17","390.79","1.90B","4.64%"
"Jun 09","428.84","452.66","482.82","414.20","2.28B","-5.26%"
"May 09","452.65","408.54","460.37","407.35","2.04B","10.80%"
"Apr 09","408.54","382.30","419.68","373.16","2.18B","6.86%"
"Mar 09","382.31","368.17","414.48","334.83","2.70B","3.84%"
"Feb 09","368.17","418.41","450.51","364.01","2.31B","-12.01%"
"Jan 09","418.41","429.60","470.87","395.96","2.25B","-2.60%"
"Dec 08","429.60","448.69","452.09","368.26","2.38B","-4.25%"
"Nov 08","448.69","450.83","471.39","359.35","2.31B","-0.47%"
"Oct 08","450.83","556.45","556.51","346.64","3.58B","-18.98%"
"Sep 08","556.46","635.87","635.93","518.30","2.57B","-12.49%"
"Aug 08","635.87","640.38","654.65","598.67","1.89B","-0.70%"
"Jul 08","640.36","748.00","764.21","619.58","2.59B","-14.39%"
"Jun 08","747.99","728.87","759.07","707.32","2.13B","2.62%"
"May 08","728.88","703.95","775.83","673.21","2.14B","3.54%"
"Apr 08","703.95","634.84","728.49","629.83","2.05B","10.89%"
"Mar 08","634.83","649.73","662.10","593.37","2.54B","-2.29%"
"Feb 08","649.71","606.37","672.40","573.63","2.19B","7.15%"
"Jan 08","606.34","679.30","693.10","544.57","2.69B","-10.74%"
"Dec 07","679.31","633.23","690.09","628.60","1.66B","7.28%"
"Nov 07","633.24","662.07","666.94","600.61","2.24B","-4.36%"
"Oct 07","662.08","652.91","682.01","631.73","2.26B","1.40%"
"Sep 07","652.92","604.42","663.07","597.46","1.90B","8.02%"
"Aug 07","604.43","602.30","611.03","546.53","3.06B","0.35%"
"Jul 07","602.30","599.72","650.31","593.62","2.73B","0.43%"
"Jun 07","599.72","590.41","619.84","577.70","2.82B","1.58%"
"May 07","590.41","552.44","597.66","548.99","3.06B","6.87%"
"Apr 07","552.44","524.83","564.13","524.82","2.80B","5.26%"
"Mar 07","524.83","494.05","532.19","478.21","3.31B","6.23%"
"Feb 07","494.05","503.85","517.43","490.17","2.65B","-1.95%"
"Jan 07","503.85","510.70","510.71","468.35","3.54B","-1.35%"
"Dec 06","510.72","522.58","537.55","505.42","2.49B","-2.27%"
"Nov 06","522.59","482.27","525.99","473.10","3.01B","8.36%"
"Oct 06","482.27","460.98","494.56","433.33","3.69B","4.62%"
"Sep 06","460.98","476.55","488.28","432.68","3.64B","-3.27%"
"Aug 06","476.55","497.07","508.14","475.05","3.01B","-4.13%"
"Jul 06","497.08","475.90","499.47","461.20","3.00B","4.45%"
"Jun 06","475.91","465.42","479.10","420.16","3.99B","2.25%"
"May 06","465.42","481.21","504.23","439.26","3.87B","-3.28%"
"Apr 06","481.21","457.91","501.09","457.18","2.90B","5.09%"
"Mar 06","457.89","438.89","467.36","424.69","3.51B","4.34%"
"Feb 06","438.86","481.74","484.90","429.70","3.67B","-8.90%"
"Jan 06","481.74","422.14","486.94","422.14","3.45B","14.12%"
"Dec 05","422.12","418.32","446.07","415.71","2.87B","0.91%"
"Nov 05","418.32","412.46","433.56","397.03","3.13B","1.42%"
"Oct 05","412.46","454.41","458.85","383.27","3.70B","-9.23%"
"Sep 05","454.41","427.53","461.97","425.82","2.92B","6.29%"
"Aug 05","427.52","406.13","429.68","398.96","2.76B","5.27%"
"Jul 05","406.12","382.40","412.35","382.40","2.31B","6.20%"
"Jun 05","382.40","360.17","398.74","360.17","2.52B","6.17%"
"May 05","360.17","353.67","363.74","330.03","2.57B","1.84%"
"Apr 05","353.66","374.46","387.57","344.49","2.95B","-5.55%"
"Mar 05","374.46","387.56","396.42","357.79","3.10B","-3.38%"
"Feb 05","387.55","329.08","393.68","329.08","2.33B","17.77%"
"Jan 05","329.08","319.75","330.29","305.15","2.21B","2.91%"
"Dec 04","319.76","326.60","326.86","303.99","2.13B","-2.09%"
"Nov 04","326.60","307.23","330.63","300.47","2.22B","6.30%"
"Oct 04","307.23","306.53","321.91","301.29","2.23B","0.23%"
"Sep 04","306.53","281.93","308.89","281.58","1.88B","8.73%"
"Aug 04","281.93","286.85","290.10","269.55","1.87B","-1.72%"
"Jul 04","286.86","277.77","288.54","276.20","1.64B","3.27%"
"Jun 04","277.77","262.26","281.76","260.57","1.77B","5.91%"
"May 04","262.26","263.17","271.21","253.09","1.87B","-0.35%"
"Apr 04","263.18","258.46","273.82","255.59","1.82B","1.83%"
"Mar 04","258.45","260.01","267.02","247.11","2.05B","-0.60%"
"Feb 04","260.01","249.49","261.52","244.04","1.65B","4.22%"
"Jan 04","249.49","246.08","257.40","243.76","1.86B","1.39%"
"Dec 03","246.08","216.82","248.07","216.82","1.66B","13.50%"
"Nov 03","216.82","216.89","218.47","211.67","1.29B","-0.03%"
"Oct 03","216.89","214.84","225.31","212.85","1.71B","0.95%"
"Sep 03","214.84","220.42","223.50","212.80","1.54B","-2.53%"
"Aug 03","220.41","207.74","221.48","203.91","1.44B","6.09%"
"Jul 03","207.75","214.81","215.43","206.01","1.91B","-3.30%"
"Jun 03","214.83","218.18","229.66","214.77","1.82B","-1.54%"
"May 03","218.18","200.01","219.37","198.67","1.86B","9.08%"
"Apr 03","200.01","200.15","204.60","196.41","1.63B","-0.06%"
"Mar 03","200.14","198.76","204.73","190.84","1.77B","0.69%"
"Feb 03","198.76","194.66","201.99","187.42","1.56B","2.11%"
"Jan 03","194.65","200.29","207.36","182.95","1.64B","-2.82%"
"Dec 02","200.29","199.60","207.91","196.87","1.40B","0.35%"
"Nov 02","199.60","193.37","201.95","186.85","1.35B","3.22%"
"Oct 02","193.37","187.09","205.50","182.03","1.82B","3.36%"
"Sep 02","187.09","204.25","204.96","182.53","1.35B","-8.40%"
"Aug 02","204.25","204.06","214.98","180.93","1.61B","0.09%"
"Jul 02","204.06","231.87","232.37","173.24","2.14B","-12.01%"
"Jun 02","231.91","238.00","238.67","223.64","1.74B","-2.56%"
